2theta,intensity
25.24552224876081,120.19308222304231
25.295508342815417,106.20742108289186
25.345494465144526,111.03025377773658
25.395480615747367,109.5443780164335
25.445466794623204,125.12418769429812
25.495453001771274,119.71162129642222
25.545439237190827,113.7210778686199
25.595425500881106,107.8088393421876
25.645411792841344,114.33364758150893
25.69539811307079,112.63493706303596
25.74538446156868,95.23280401393808
25.795370838334254,98.65030708693914
25.845357243366745,79.04507701537754
25.895343676665394,95.88547303981476
25.945330138229423,94.58178177429335
25.995316628058077,97.32210047688952
26.045303146150573,108.18693709751446
26.095289692506146,88.43312506078767
26.145276267124025,82.88752729213314
26.195262870003436,91.59197423924815
26.245249501143597,80.37208934110294
26.295236160543745,98.3625383219274
26.34522284820308,88.45319364419602
26.395209564120844,92.54519847364958
26.445196308296243,88.26955341874829
26.495183080728495,70.31324999079447
26.545169881416818,86.01908801694275
26.595156710360428,90.1138319666212
26.645143567558534,81.50296977189915
26.695130453010353,78.09084644852813
26.745117366715085,68.11812474447336
26.795104308671952,85.32861284500818
26.845091278880147,77.97531324248746
26.895078277338886,97.73683838887652
26.945065304047368,80.01816915244622
26.995052359004802,76.79129965149372
27.045039442210378,86.37177061869001
27.095026553663306,68.5815421826275
27.145013693362777,81.05336272246895
27.195000861308,71.192872078543
27.244988057498155,82.69519993448627
27.29497528193244,75.85014266168918
27.34496253461005,75.58693171733765
27.394949815530182,82.66934655645746
27.44493712469202,77.66348366367039
27.494924462094758,86.66148157961575
27.544911827737565,65.43746690369129
27.59489922161965,72.7500525208598
27.644886643740175,83.62658727560468
27.69487409409834,78.14314642771637
27.74486157269331,70.52373320189723
27.79484907952428,89.77577617501213
27.844836614590424,79.20426860014136
27.894824177890914,77.45237394140933
27.944811769424923,82.69386248245523
27.994799389191638,78.19143572976706
28.044787037190215,72.29754775341071
28.09477471341983,78.8660378412942
28.144762417879654,71.5215387045776
28.19475015056886,74.2436773645141
28.244737911486613,86.27786565626967
28.29472570063207,68.46130658670305
28.3447135180044,86.88079187581486
28.39470136360277,73.84842007808967
28.444689237426328,70.34126754198702
28.494677139474245,74.51197810133633
28.544665069745673,68.48859525232203
28.59465302823977,82.80730069195873
28.644641014955695,73.1648341436573
28.694629029892592,95.05956176379357
28.744617073049625,83.48582658259343
28.794605144425937,85.98249170493399
28.844593244020675,87.04165269814672
28.89458137183299,84.39554158554799
28.944569527862033,78.06410534863184
28.99455771210694,89.10775791125897
29.044545924566865,79.6657811127235
29.094534165240933,67.43725403325853
29.144522434128305,78.79454365323417
29.19451073122811,65.09134787879977
29.244499056539482,79.75550449815914
29.29448741006156,97.08313231554553
29.344475791793485,75.34025085452163
29.39446420173438,76.16360013927412
29.44445263988339,79.3358836694233
29.49444110623963,74.33090306020698
29.54442960080224,88.29851585769761
29.594418123570346,77.24036004849958
29.64440667454307,82.06146965928595
29.69439525371954,76.47015237125959
29.74438386109888,88.82833347685317
29.794372496680204,87.95758100718173
29.84436116046265,86.0718152700808
29.894349852445313,89.14893453357757
29.94433857262733,82.97300432889023
29.99432732100781,91.68324590789642
30.044316097585867,105.03529079368407
30.094304902360612,83.8061137609792
30.14429373533116,95.55640003733741
30.19428259649662,82.45715801946575
30.24427148585611,81.08510760848044
30.294260403408718,90.88146456415221
30.344249349153568,92.13754618505517
30.394238323089755,84.18043191758218
30.44422732521639,80.88549972981511
30.494216355532558,64.87649346397959
30.54420541403738,77.51449484675751
30.594194500729937,93.06287998627775
30.644183615609343,88.5724185334155
30.694172758674682,93.17831507132681
30.744161929925053,81.88924024267475
30.79415112935955,88.80595623281516
30.84414035697726,87.07085627002257
30.89412961277727,92.03011377755459
30.944118896758685,88.78731611960626
30.994108208920576,83.90767323269988
31.044097549262037,64.8099898718002
31.09408691778215,105.41451457539235
31.144076314479996,89.09310793704131
31.194065739354663,81.45523911640346
31.244055192405224,72.36960073068065
31.294044673630758,89.06369929758945
31.344034183030345,84.51346586676642
31.394023720603062,79.99858200708591
31.44401328634799,90.9310807909732
31.494002880264183,80.6576403035885
31.54399250235073,73.61424598486678
31.59398215260669,79.85552372053033
31.64397183103114,81.6038032754941
31.693961537623135,80.24878687622633
31.743951272381757,81.79962762763519
31.79394103530606,77.07173276257846
31.843930826395113,85.18694840897444
31.89392064564797,79.82024534258046
31.943910493063694,94.03393462901629
31.993900368641356,80.60740695305823
32.04389027237999,88.03720050988848
32.093880204278655,96.33449461825842
32.14387016433643,97.51799915672923
32.193860152552354,89.9178443318593
32.243850168925455,79.29638539918408
32.29384021345482,83.11807804894806
32.34383028613948,93.4132162938216
32.39382038697848,79.9861199197819
32.44381051597088,98.35226138086149
32.4938006731157,92.15852477856018
32.543790858412,79.90430863537546
32.59378107185882,103.46480149823121
32.64377131345521,67.81728176848216
32.69376158320018,88.06709997460692
32.74375188109279,93.84265638725111
32.793742207132084,81.17326364625731
32.84373256131706,77.40416416432043
32.89372294364677,79.9590169531422
32.94371335412026,84.62207560201011
32.993703792736554,83.5253363797815
33.043694259494664,80.41474070574894
33.09368475439363,91.52959442525652
33.143675277432486,84.44782520231314
33.193665828610236,86.80208121475707
33.24365640792591,77.24922265828013
33.29364701537854,73.47016467237408
33.34363765096713,91.38412648093806
33.393628314690716,75.70944046048957
33.44361900654832,90.62385770544164
33.493609726538914,84.87608189733102
33.54360047466155,92.92591733948571
