"source","folder","name","manufacturer","conn","framework","probe_cmd","actions","verdict"
"community","hri","Generic High Resolution Imager","Open Source","VISA_SCPI","lantz/VISA","{} !RFGAIN","19","T2_visa_needs_rs232_idn"
"community","http_connection","type: string","","SERIAL","pyserial","","117","T1b_serial_probe_tbd"
"community","http_rule_pusher","type: string","","TCP","socket","","418","T3_network_needs_ext"
"community","http_task_pusher","type: string","","TCP","socket","","418","T3_network_needs_ext"
"community","h_pe3631a","Hewlett-Packard HP E3631A Triple Output Power Supply 鐢垫簮","Hewlett-Packard (Keysight)","UNKNOWN","","SOUR:VOLT?","9","T4_manual_review"
"community","i2c","Open Standard I2C","Open Standard","UNKNOWN","","","10","T4_manual_review"
"community","i7540d","I-7540D","ICP DAS","TCP","socket","","9","T3_network_needs_ext"
"community","ieee488","Open Standard IEEE 488 functions","Open Standard (IEEE 488)","VISA_SCPI","lantz/VISA","*IDN?","7","T2_visa_needs_rs232_idn"
"community","ieee4882_driver","Generic Ieee4882 Driver","Open Standard (IEEE 488.2)","VISA_SCPI","lantz/VISA","*IDN?","25","T2_visa_needs_rs232_idn"
"community","image_acquirer","Image Acquirer","Open Source","UNKNOWN","","","33","T4_manual_review"
"community","incubator_stx","incubator_stx","","TCP","socket","","7","T3_network_needs_ext"
"community","inheco_incubator_shaker_stack_backend","Inheco CPAC鍔犵儹鍜屽埗鍐锋ā鍧?","鐨曡但绉戝浠櫒锛堜笂娴凤級鏈夐檺鍏徃","SERIAL","pyserial","","70","T1b_serial_probe_tbd"
"community","inheco_incubator_shaker_unit","Inheco CPAC鍔犵儹鍜屽埗鍐锋ā鍧?","鐨曡但绉戝浠櫒锛堜笂娴凤級鏈夐檺鍏徃","SERIAL","pyserial","","68","T1b_serial_probe_tbd"
"community","inheco_tec_control_box","CPAC 鈥?Cold Plate Air Cooled Heater/Cooler","Inheco","UNKNOWN","","","5","T4_manual_review"
"community","innova300_c","Coherent Innova 300C 姘╃瀛愭縺鍏夊櫒 鍒嗘瀽浠櫒 婵€鍏夊櫒","Coherent Corp.","VISA_SCPI","lantz/VISA","PRINT {}","14","T2_visa_needs_rs232_idn"
"community","instrument_db","type: string","Open Source","TCP","socket","","34","T3_network_needs_ext"
"community","instrument_drivers__device","instrument_drivers__device","","TCP","socket","*IDN?","32","T3_network_needs_ext"
"community","instrument_drivers__scpi","type: string","","TCP","socket","*IDN?","185","T3_network_needs_ext"
"community","instru_socket","Instru Socket","Open Source","SERIAL","pyserial","","2","T1b_serial_probe_tbd"
