"source","folder","name","manufacturer","conn","framework","probe_cmd","actions","verdict"
"community","siteclient","Siteclient","D-TACQ Solutions","TCP","socket","","6","T3_network_needs_ext"
"community","si_tcp","Open Standard SiTcp transport layer.transport","Open Standard","TCP","socket","","6","T3_network_needs_ext"
"community","si_uart","SI Uart","Open Standard","SERIAL","pyserial","","4","T1b_serial_probe_tbd"
"community","slave_serial_worker","Slave Serial Worker","Open Standard","SERIAL","pyserial","","2","T1b_serial_probe_tbd"
"community","slcan_bus","Slcan BUS","Open Standard (SLCAN)","SERIAL","pyserial","","10","T1b_serial_probe_tbd"
"community","slew__scan","EPICS Slew Scan Controller 控制器","EPICS / Synchrotron","TCP","network-framework","","8","T3_network_needs_ext"
"community","slew__scan1_d","EPICS Slew Scan 1D Controller 控制器","EPICS / Synchrotron","TCP","network-framework","","6","T3_network_needs_ext"
"community","socket","Socket","Open Standard","TCP","socket","","5","T3_network_needs_ext"
"community","socketcan_bus","Socketcan BUS","Open Standard (SocketCAN)","TCP","socket","","3","T3_network_needs_ext"
"community","socket_can_daemon_bus","Open Standard Socket Can Bus","Open Standard","TCP","socket","","2","T3_network_needs_ext"
"community","socket_communicator","Generic Socket Communicator","Open Standard","TCP","socket","","9","T3_network_needs_ext"
"community","source_ac","Source AC","Open Source","VISA_SCPI","scpi-framework","","4","T2_visa_needs_rs232_idn"
"community","spd1000","SPD1168X","Siglent","VISA_SCPI","lantz/VISA","CURR?","13","T2_visa_needs_rs232_idn"
"community","spectra_iii_light_engine","Spectra III Light Engine","Lumencor","SERIAL","pyserial","","1","T1b_serial_probe_tbd"
"community","spectrometer","No Spectrometer Connected","Open Source","USB_SDK","usb/dll","","6","T3u_usb_sdk_not_serial"
"community","spi","SPI","Open Standard","UNKNOWN","","","16","T4_manual_review"
"community","spidr_controller","Spidr Controller","Nikhef","TCP","socket","","74","T3_network_needs_ext"
"community","spi_device","nGauge 原子力显微镜（AFM）｜芯片式AFM｜纳米表面形貌分析仪｜ICSPI便携式原子力显微镜","复纳科学仪器（上海）有限公司","SERIAL","pyserial","","21","T1b_serial_probe_tbd"
"community","spool_local_localization_rule","spool_local_localization_rule","","TCP","socket","","1","T3_network_needs_ext"
